candidate_id;position_id;position_name;remote_work;visa_sponsorship;relocation;company_name;founded;company_age;company_size;company_size_range;location;industry;interest_flag
245223;1440;Front-end Engineer;;;;Teampay;2016;5-10;10;10 - 20;New York City;Internet;0
402661;1440;Front-end Engineer;;;;Teampay;2016;5-10;10;10 - 20;New York City;Internet;0
404468;1440;Front-end Engineer;;;;Teampay;2016;5-10;10;10 - 20;New York City;Internet;1
583935;1440;Front-end Engineer;;;;Teampay;2016;5-10;10;10 - 20;New York City;Internet;1
728105;1440;Front-end Engineer;;;;Teampay;2016;5-10;10;10 - 20;New York City;Internet;0
788770;1440;Front-end Engineer;;;;Teampay;2016;5-10;10;10 - 20;New York City;Internet;1
803200;1440;Front-end Engineer;;;;Teampay;2016;5-10;10;10 - 20;New York City;Internet;0
805455;1440;Front-end Engineer;;;;Teampay;2016;5-10;10;10 - 20;New York City;Internet;1
805471;1440;Front-end Engineer;;;;Teampay;2016;5-10;10;10 - 20;New York City;Internet;1
179801;1627;Boutique Stylists;;;;Scanlan Theodore;1987;+20;350;100 - 500;New York City;Apparel & Fashion;0
229609;1627;Boutique Stylists;;;;Scanlan Theodore;1987;+20;350;100 - 500;New York City;Apparel & Fashion;0
777955;1627;Boutique Stylists;;;;Scanlan Theodore;1987;+20;350;100 - 500;New York City;Apparel & Fashion;0
777972;1627;Boutique Stylists;;;;Scanlan Theodore;1987;+20;350;100 - 500;New York City;Apparel & Fashion;1
777998;1627;Boutique Stylists;;;;Scanlan Theodore;1987;+20;350;100 - 500;New York City;Apparel & Fashion;0
778103;1627;Boutique Stylists;;;;Scanlan Theodore;1987;+20;350;100 - 500;New York City;Apparel & Fashion;0
779367;1627;Boutique Stylists;;;;Scanlan Theodore;1987;+20;350;100 - 500;New York City;Apparel & Fashion;1
779435;1627;Boutique Stylists;;;;Scanlan Theodore;1987;+20;350;100 - 500;New York City;Apparel & Fashion;0
779624;1627;Boutique Stylists;;;;Scanlan Theodore;1987;+20;350;100 - 500;New York City;Apparel & Fashion;0
779716;1627;Boutique Stylists;;;;Scanlan Theodore;1987;+20;350;100 - 500;New York City;Apparel & Fashion;1
