"pid";"position";"company";"status";"fetcher_leads";"extension_leads"
1115;Fetcher Team Mascot ;Fetcher;Open;0;1
1254;Fetcher CSM Demo Position;Fetcher;Open;0;1
2260;Head of Engineering;Bizly;On hold;19;3
2705;Senior Mechanical Engineer;Bevi;Closed;40;0
3810;Sr. Backend Engineer;Frame.io;Open;0;41
4446;Enterprise Account Executive;Hyperscience;Open;0;3
4802;Sr. Frontend Engineer;Frame.io;Open;40;6
4844;Product Designer;Frame.io;Open;0;102
5108;Frontend Engineering Manager;Frame.io;Open;40;0
5231;Mid-Market Account Executive;Frame.io;Open;5;10
5361;Software Development Engineer In Test;Magnite;On hold;10;0
5580;Brand Designer;Frame.io;Open;0;2
5774;Sr. Video Engineer;Frame.io;Closed;40;0
5783;Backend Engineering Manager;Frame.io;Open;29;0
5918;Software Engineer - Ruby on Rails;Wealthsimple;Closed;0;1
5920;Senior Software Engineer, Java;Wealthsimple;On hold;20;0
5987;Senior Software Engineer, Ruby on Rails;Coupa Software;Open;60;9
6066;Backend Software Engineer;Bizly;On hold;0;1
6111;Technical Lead / Architect;Race21™;On hold;10;0
6140;Senior Product Designer;Bizly;On hold;29;12
6156;Group Product Manager;Frame.io;Open;0;10
6206;Senior Backend Engineer;Hyperscience;On hold;0;1
6236;Senior BE Eng (Sasha sourced);Hyperscience;Closed;0;1
6343;Site Reliability/DevOps Engineer - London;Neo4j;On hold;40;0
6423;Content Manager ;Bizly;Closed;0;1
6481;Fetcher Emails;Race21™;New;0;2
6625;Java Back End Engineer;Localcoin;Open;40;0
6630;Emergency Veterinarian;Vets Pets;Open;3;0
6692;Senior Platform Engineer;Appcues;Open;20;0
6726;Cloud Infrastructure Developer;Race21™;Open;20;0
6749;GRC Manager;Frame.io;Closed;40;44
6780;Senior Veterinarian - NYC;Small Door ;Closed;10;1
6809;Application Engineer PIM/MDM;SQLI Digital Expertise;On hold;10;0
6814;NL - Product Owner (E-commerce & Engagement);SQLI Digital Expertise;Open;40;0
6828;Sales Development Representative;CircleLink Health;Open;30;0
6896;Director of Engineering;Hipcamp;Open;16;7
6897;Senior Engineering Manager;Hipcamp;Open;20;38
6906;Software Engineer (EXTENSION);Bizly;New;0;3
6917;**Previous Outreach - Product Designer**;Frame.io;Open;0;2
6935;Data Analyst;Immersive Labs;On hold;40;0
6937;Senior Software Engineer;Bevi;On hold;88;1
6956;Sales Director;Mavrck;On hold;60;12
6957;Senior Solutions Engineer - Germany;zeotap;On hold;20;0
7041;Sr. Data Engineer;AllStripes;Closed;31;3
7053;Director of Field Service Operations;Bevi;Closed;45;0
7092;SaaS Account Executive;Loadsmart;Open;0;4
7111;Sr. Software Engineer;AllStripes;Closed;36;0
7113;Senior Product Analyst;Hipcamp;Open;30;0
7141;Manager, Software Engineering - C++;Magnite;On hold;30;0
7148;Enterprise Business Development Rep;Coupa Software;On hold;60;0
7233;Product Designer;LightForce Orthodontics;Open;10;0
7309;Senior Product Designer - Core Product Experience ;Mux;Open;20;0
7317;Salt Lake Loan Officers (C&C);Percy;Open;10;0
7347;Senior Software Engineer, Digital Retail;CarGurus;Open;40;0
7348;Principal Software Engineer, Labs;CarGurus;Open;20;0
